Status_of_existing_checking_account,Duration,Credit_history,Purpose,Credit_amount,Savings_account_bonds,Present_employment_since,Installment_rate,Personal_status_sex,Other_debtors_guarantors,Present_residence_since,Property,Age,Other_installment_plans,Housing,Number_of_existing_credits,Job,Number_of_people_liable,Telephone,Foreign_worker,Credit_risk
>= 200 DM/salary assigned,24,Existing credits paid back,Furniture/equipment,1925,< 100 DM,1 <= ... < 4 years,2,Male single,None,2,Real estate,26,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,18,Existing credits paid back,Radio/TV,433,< 100 DM,Unemployed,3,Female div/sep/married,Co-applicant,4,Real estate,22,None,Rent,1,Skilled employee,1,None,Yes,Bad
< 0 DM,6,Critical account,Car (new),666,>= 1000 DM,4 <= ... < 7 years,3,Female div/sep/married,None,4,Real estate,39,None,Own,2,Unskilled-resident,1,"Yes, registered",Yes,Good
>= 200 DM/salary assigned,12,Existing credits paid back,Furniture/equipment,2251,< 100 DM,1 <= ... < 4 years,1,Female div/sep/married,None,2,Car/other,46,None,Own,1,Unskilled-resident,1,None,Yes,Good
0 <= ... < 200 DM,30,Existing credits paid back,Car (new),2150,< 100 DM,1 <= ... < 4 years,4,Female div/sep/married,Guarantor,2,Unknown/No property,24,Bank,Own,1,Skilled employee,1,None,Yes,Bad
No checking account,24,Delayed payments,Furniture/equipment,4151,100 <= ... < 500 DM,1 <= ... < 4 years,2,Male single,None,3,Savings/Life insurance,35,None,Own,2,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,9,Existing credits paid back,Furniture/equipment,2030,Unknown/No savings,4 <= ... < 7 years,2,Male single,None,1,Car/other,24,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,60,Delayed payments,Radio/TV,7418,Unknown/No savings,1 <= ... < 4 years,1,Male single,None,1,Real estate,27,None,Own,1,Unskilled-resident,1,None,Yes,Good
No checking account,24,Critical account,Radio/TV,2684,< 100 DM,1 <= ... < 4 years,4,Male single,None,2,Real estate,35,None,Own,2,Unskilled-resident,1,None,Yes,Good
< 0 DM,12,All credits paid back,Radio/TV,2149,< 100 DM,1 <= ... < 4 years,4,Male divorced/separated,None,1,Unknown/No property,29,None,For free,1,Skilled employee,1,None,Yes,Bad
No checking account,15,Existing credits paid back,Car (used),3812,100 <= ... < 500 DM,< 1 year,1,Female div/sep/married,None,4,Car/other,23,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,11,Critical account,Radio/TV,1154,100 <= ... < 500 DM,Unemployed,4,Female div/sep/married,None,4,Real estate,57,None,Own,3,Unskilled-resident,1,None,Yes,Good
< 0 DM,12,Existing credits paid back,Furniture/equipment,1657,< 100 DM,1 <= ... < 4 years,2,Male single,None,2,Real estate,27,None,Own,1,Skilled employee,1,None,Yes,Good
< 0 DM,24,Existing credits paid back,Radio/TV,1603,< 100 DM,>= 7 years,4,Female div/sep/married,None,4,Car/other,55,None,Own,1,Skilled employee,1,None,Yes,Good
< 0 DM,18,Critical account,Car (new),5302,< 100 DM,>= 7 years,2,Male single,None,4,Unknown/No property,36,None,For free,3,Management/self-employed,1,"Yes, registered",Yes,Good
No checking account,12,Critical account,Education,2748,< 100 DM,>= 7 years,2,Female div/sep/married,None,4,Unknown/No property,57,Bank,For free,3,Unskilled-resident,1,None,Yes,Good
No checking account,10,Critical account,Car (new),1231,< 100 DM,>= 7 years,3,Male single,None,4,Real estate,32,None,Own,2,Unskilled-resident,2,None,No,Good
0 <= ... < 200 DM,15,Existing credits paid back,Radio/TV,802,< 100 DM,>= 7 years,4,Male single,None,3,Car/other,37,None,Own,1,Skilled employee,2,None,Yes,Bad
No checking account,36,Critical account,Business,6304,Unknown/No savings,>= 7 years,4,Male single,None,4,Real estate,36,None,Own,2,Skilled employee,1,None,Yes,Good
No checking account,24,Existing credits paid back,Radio/TV,1533,< 100 DM,< 1 year,4,Female div/sep/married,None,3,Car/other,38,Stores,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,14,Existing credits paid back,Car (new),8978,< 100 DM,>= 7 years,1,Male divorced/separated,None,4,Savings/Life insurance,45,None,Own,1,Management/self-employed,1,"Yes, registered",No,Bad
No checking account,24,Existing credits paid back,Radio/TV,999,Unknown/No savings,>= 7 years,4,Male single,None,2,Car/other,25,None,Own,2,Skilled employee,1,None,Yes,Good
No checking account,18,Existing credits paid back,Car (new),2662,Unknown/No savings,4 <= ... < 7 years,4,Male single,None,3,Savings/Life insurance,32,None,Own,1,Skilled employee,1,None,No,Good
No checking account,12,Critical account,Furniture/equipment,1402,500 <= ... < 1000 DM,4 <= ... < 7 years,3,Female div/sep/married,None,4,Car/other,37,None,Rent,1,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,48,All credits paid back,Car (new),12169,Unknown/No savings,Unemployed,4,Male single,Co-applicant,4,Unknown/No property,36,None,For free,1,Management/self-employed,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,48,Existing credits paid back,Radio/TV,3060,< 100 DM,4 <= ... < 7 years,4,Male single,None,4,Real estate,28,None,Own,2,Skilled employee,1,None,Yes,Bad
< 0 DM,30,Existing credits paid back,Repairs,11998,< 100 DM,< 1 year,1,Male divorced/separated,None,1,Unknown/No property,34,None,Own,1,Unskilled-resident,1,"Yes, registered",Yes,Bad
No checking account,9,Existing credits paid back,Radio/TV,2697,< 100 DM,1 <= ... < 4 years,1,Male single,None,2,Real estate,32,None,Own,1,Skilled employee,2,None,Yes,Good
No checking account,18,Critical account,Radio/TV,2404,< 100 DM,1 <= ... < 4 years,2,Female div/sep/married,None,2,Car/other,26,None,Own,2,Skilled employee,1,None,Yes,Good
< 0 DM,12,Existing credits paid back,Furniture/equipment,1262,Unknown/No savings,>= 7 years,2,Male divorced/separated,None,4,Savings/Life insurance,49,None,Own,1,Unskilled-resident,1,"Yes, registered",Yes,Good
No checking account,6,Existing credits paid back,Furniture/equipment,4611,< 100 DM,< 1 year,1,Female div/sep/married,None,4,Savings/Life insurance,32,None,Own,1,Skilled employee,1,None,Yes,Bad
No checking account,24,Existing credits paid back,Radio/TV,1901,100 <= ... < 500 DM,1 <= ... < 4 years,4,Male single,None,4,Car/other,29,None,Rent,1,Management/self-employed,1,"Yes, registered",Yes,Good
No checking account,15,Critical account,Car (used),3368,>= 1000 DM,>= 7 years,3,Male single,None,4,Unknown/No property,23,None,Rent,2,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,12,Existing credits paid back,Furniture/equipment,1574,< 100 DM,1 <= ... < 4 years,4,Male single,None,2,Real estate,50,None,Own,1,Skilled employee,1,None,Yes,Good
>= 200 DM/salary assigned,18,All credits paid back,Radio/TV,1445,Unknown/No savings,4 <= ... < 7 years,4,Male single,None,4,Car/other,49,Bank,Own,1,Unskilled-resident,1,None,Yes,Good
No checking account,15,Critical account,Furniture/equipment,1520,Unknown/No savings,>= 7 years,4,Male single,None,4,Savings/Life insurance,63,None,Own,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,24,Critical account,Car (new),3878,100 <= ... < 500 DM,< 1 year,4,Male divorced/separated,None,2,Car/other,37,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,47,Existing credits paid back,Car (new),10722,< 100 DM,< 1 year,1,Female div/sep/married,None,1,Real estate,35,None,Own,1,Unskilled-resident,1,"Yes, registered",Yes,Good
< 0 DM,48,Existing credits paid back,Car (used),4788,< 100 DM,4 <= ... < 7 years,4,Male single,None,3,Savings/Life insurance,26,None,Own,1,Skilled employee,2,None,Yes,Good
0 <= ... < 200 DM,48,Delayed payments,Other,7582,100 <= ... < 500 DM,Unemployed,2,Male single,None,4,Unknown/No property,31,None,For free,1,Management/self-employed,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,12,Existing credits paid back,Radio/TV,1092,< 100 DM,1 <= ... < 4 years,4,Female div/sep/married,Guarantor,4,Real estate,49,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,24,Delayed payments,Radio/TV,1024,< 100 DM,< 1 year,4,Male married/widowed,None,4,Real estate,48,Stores,Own,1,Skilled employee,1,None,Yes,Bad
No checking account,12,Existing credits paid back,Business,1076,< 100 DM,1 <= ... < 4 years,2,Male married/widowed,None,2,Real estate,26,None,Own,1,Skilled employee,1,"Yes, registered",No,Good
0 <= ... < 200 DM,36,Existing credits paid back,Car (used),9398,< 100 DM,< 1 year,1,Male married/widowed,None,4,Car/other,28,None,Rent,1,Management/self-employed,1,"Yes, registered",Yes,Bad
< 0 DM,24,Critical account,Car (used),6419,< 100 DM,>= 7 years,2,Female div/sep/married,None,4,Unknown/No property,44,None,For free,2,Management/self-employed,2,"Yes, registered",Yes,Good
>= 200 DM/salary assigned,42,Critical account,Car (used),4796,< 100 DM,>= 7 years,4,Male single,None,4,Unknown/No property,56,None,For free,1,Skilled employee,1,None,Yes,Good
No checking account,48,Critical account,Business,7629,Unknown/No savings,>= 7 years,4,Male divorced/separated,None,2,Car/other,46,Bank,Own,2,Management/self-employed,2,None,Yes,Good
0 <= ... < 200 DM,48,Existing credits paid back,Furniture/equipment,9960,< 100 DM,< 1 year,1,Female div/sep/married,None,2,Car/other,26,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Bad
No checking account,12,Existing credits paid back,Car (used),4675,Unknown/No savings,< 1 year,1,Female div/sep/married,None,4,Car/other,20,None,Rent,1,Skilled employee,1,None,Yes,Good
No checking account,10,Existing credits paid back,Car (new),1287,Unknown/No savings,>= 7 years,4,Male single,Co-applicant,2,Savings/Life insurance,45,None,Own,1,Unskilled-resident,1,None,No,Good
No checking account,18,Existing credits paid back,Furniture/equipment,2515,< 100 DM,1 <= ... < 4 years,3,Male single,None,4,Real estate,43,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,21,Critical account,Furniture/equipment,2745,>= 1000 DM,4 <= ... < 7 years,3,Male single,None,2,Car/other,32,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,6,Existing credits paid back,Car (new),672,< 100 DM,Unemployed,1,Female div/sep/married,None,4,Real estate,54,None,Own,1,Unemployed/non-resident,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,36,No credits/all paid,Radio/TV,3804,< 100 DM,1 <= ... < 4 years,4,Female div/sep/married,None,1,Car/other,42,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Bad
>= 200 DM/salary assigned,24,Critical account,Car (new),1344,Unknown/No savings,4 <= ... < 7 years,4,Male single,None,2,Real estate,37,Bank,Own,2,Unskilled-resident,2,None,Yes,Bad
< 0 DM,10,Critical account,Car (new),1038,< 100 DM,4 <= ... < 7 years,4,Male single,Co-applicant,3,Savings/Life insurance,49,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,48,Critical account,Car (new),10127,500 <= ... < 1000 DM,1 <= ... < 4 years,2,Male single,None,2,Unknown/No property,44,Bank,For free,1,Skilled employee,1,None,Yes,Bad
No checking account,6,Existing credits paid back,Furniture/equipment,1543,>= 1000 DM,1 <= ... < 4 years,4,Male divorced/separated,None,2,Real estate,33,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,30,Existing credits paid back,Car (used),4811,Unknown/No savings,4 <= ... < 7 years,2,Female div/sep/married,None,4,Savings/Life insurance,24,Stores,Rent,1,Unskilled-resident,1,None,Yes,Good
< 0 DM,12,Existing credits paid back,Radio/TV,727,100 <= ... < 500 DM,< 1 year,4,Male married/widowed,None,3,Unknown/No property,33,None,Own,1,Unskilled-resident,1,"Yes, registered",Yes,Bad
0 <= ... < 200 DM,8,Existing credits paid back,Furniture/equipment,1237,< 100 DM,1 <= ... < 4 years,3,Female div/sep/married,None,4,Real estate,24,None,Own,1,Skilled employee,1,None,Yes,Bad
0 <= ... < 200 DM,9,Existing credits paid back,Car (new),276,< 100 DM,1 <= ... < 4 years,4,Male married/widowed,None,4,Real estate,22,None,Rent,1,Unskilled-resident,1,None,Yes,Good
0 <= ... < 200 DM,48,Existing credits paid back,Other,5381,Unknown/No savings,Unemployed,3,Male single,None,4,Unknown/No property,40,Bank,For free,1,Unemployed/non-resident,1,"Yes, registered",Yes,Good
No checking account,24,Existing credits paid back,Furniture/equipment,5511,100 <= ... < 500 DM,1 <= ... < 4 years,4,Male single,None,1,Car/other,25,Stores,Own,1,Skilled employee,1,None,Yes,Good
>= 200 DM/salary assigned,24,Existing credits paid back,Furniture/equipment,3749,< 100 DM,< 1 year,2,Female div/sep/married,None,4,Car/other,26,None,Own,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,12,Existing credits paid back,Car (new),685,< 100 DM,4 <= ... < 7 years,2,Male married/widowed,None,3,Car/other,25,Bank,Own,1,Unskilled-resident,1,None,Yes,Bad
>= 200 DM/salary assigned,4,Existing credits paid back,Car (new),1494,Unknown/No savings,< 1 year,1,Male single,None,2,Real estate,29,None,Own,1,Unskilled-resident,2,None,No,Good
< 0 DM,36,All credits paid back,Furniture/equipment,2746,< 100 DM,>= 7 years,4,Male single,None,4,Car/other,31,Bank,Own,1,Skilled employee,1,None,Yes,Bad
< 0 DM,12,Existing credits paid back,Furniture/equipment,708,< 100 DM,1 <= ... < 4 years,2,Male single,Guarantor,3,Savings/Life insurance,38,None,Own,1,Unskilled-resident,2,None,Yes,Good
0 <= ... < 200 DM,24,Existing credits paid back,Furniture/equipment,4351,Unknown/No savings,1 <= ... < 4 years,1,Female div/sep/married,None,4,Savings/Life insurance,48,None,Own,1,Unskilled-resident,1,"Yes, registered",Yes,Good
No checking account,12,Critical account,Education,701,< 100 DM,1 <= ... < 4 years,4,Male single,None,2,Car/other,32,None,Own,2,Skilled employee,1,None,Yes,Good
< 0 DM,15,Delayed payments,Furniture/equipment,3643,< 100 DM,>= 7 years,1,Female div/sep/married,None,4,Savings/Life insurance,27,None,Own,2,Unskilled-resident,1,None,Yes,Good
0 <= ... < 200 DM,30,Critical account,Car (new),4249,< 100 DM,Unemployed,4,Male married/widowed,None,2,Car/other,28,None,Own,2,Management/self-employed,1,None,Yes,Bad
< 0 DM,24,Existing credits paid back,Radio/TV,1938,< 100 DM,< 1 year,4,Male divorced/separated,None,3,Savings/Life insurance,32,None,Own,1,Skilled employee,1,None,Yes,Bad
< 0 DM,24,Existing credits paid back,Car (used),2910,< 100 DM,4 <= ... < 7 years,2,Male single,None,1,Unknown/No property,34,None,For free,1,Management/self-employed,1,"Yes, registered",Yes,Good
< 0 DM,18,Existing credits paid back,Furniture/equipment,2659,>= 1000 DM,1 <= ... < 4 years,4,Male single,None,2,Car/other,28,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,18,Critical account,Car (new),1028,< 100 DM,1 <= ... < 4 years,4,Female div/sep/married,None,3,Real estate,36,None,Own,2,Skilled employee,1,None,Yes,Good
< 0 DM,8,Critical account,Car (new),3398,< 100 DM,4 <= ... < 7 years,1,Male single,None,4,Real estate,39,None,Own,2,Unskilled-resident,1,None,No,Good
No checking account,12,Critical account,Furniture/equipment,5801,Unknown/No savings,>= 7 years,2,Male single,None,4,Savings/Life insurance,49,None,Rent,1,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,24,Existing credits paid back,Car (new),1525,>= 1000 DM,4 <= ... < 7 years,4,Female div/sep/married,None,3,Car/other,34,None,Own,1,Skilled employee,2,"Yes, registered",Yes,Good
>= 200 DM/salary assigned,36,Existing credits paid back,Radio/TV,4473,< 100 DM,>= 7 years,4,Male single,None,2,Car/other,31,None,Own,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,6,Existing credits paid back,Radio/TV,1068,< 100 DM,>= 7 years,4,Male single,None,4,Car/other,28,None,Own,1,Skilled employee,2,None,Yes,Good
< 0 DM,24,Critical account,Car (used),6615,< 100 DM,Unemployed,2,Male single,None,4,Unknown/No property,75,None,For free,2,Management/self-employed,1,"Yes, registered",Yes,Good
No checking account,18,Critical account,Education,1864,100 <= ... < 500 DM,1 <= ... < 4 years,4,Female div/sep/married,None,2,Real estate,30,None,Own,2,Skilled employee,1,None,Yes,Bad
0 <= ... < 200 DM,60,Existing credits paid back,Car (new),7408,100 <= ... < 500 DM,< 1 year,4,Female div/sep/married,None,2,Savings/Life insurance,24,None,Own,1,Management/self-employed,1,None,Yes,Bad
No checking account,48,Critical account,Car (used),11590,100 <= ... < 500 DM,1 <= ... < 4 years,2,Female div/sep/married,None,4,Car/other,24,Bank,Rent,2,Unskilled-resident,1,None,Yes,Bad
< 0 DM,24,No credits/all paid,Furniture/equipment,4110,< 100 DM,>= 7 years,3,Male single,None,4,Unknown/No property,23,Bank,Rent,2,Skilled employee,2,None,Yes,Bad
< 0 DM,6,Critical account,Furniture/equipment,3384,< 100 DM,1 <= ... < 4 years,1,Male divorced/separated,None,4,Real estate,44,None,Rent,1,Management/self-employed,1,"Yes, registered",Yes,Bad
0 <= ... < 200 DM,13,Existing credits paid back,Radio/TV,2101,< 100 DM,< 1 year,2,Female div/sep/married,Guarantor,4,Savings/Life insurance,23,None,Own,1,Unskilled-resident,1,None,Yes,Good
< 0 DM,15,Existing credits paid back,Domestic appliances,1275,Unknown/No savings,1 <= ... < 4 years,4,Female div/sep/married,None,2,Car/other,24,None,Rent,1,Skilled employee,1,None,Yes,Bad
< 0 DM,24,Existing credits paid back,Furniture/equipment,4169,< 100 DM,1 <= ... < 4 years,4,Male single,None,4,Savings/Life insurance,28,None,Own,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,10,Existing credits paid back,Furniture/equipment,1521,< 100 DM,1 <= ... < 4 years,4,Male divorced/separated,None,2,Car/other,31,None,Own,1,Unskilled-resident,1,None,Yes,Good
0 <= ... < 200 DM,24,Critical account,Education,5743,< 100 DM,< 1 year,2,Female div/sep/married,None,4,Unknown/No property,24,None,For free,2,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,21,Existing credits paid back,Furniture/equipment,3599,< 100 DM,4 <= ... < 7 years,1,Female div/sep/married,None,4,Car/other,26,None,Rent,1,Unskilled-resident,1,None,Yes,Good
0 <= ... < 200 DM,18,Existing credits paid back,Radio/TV,3213,500 <= ... < 1000 DM,< 1 year,1,Male married/widowed,None,3,Real estate,25,None,Rent,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,18,Existing credits paid back,Business,4439,< 100 DM,>= 7 years,1,Male single,Co-applicant,1,Real estate,33,Bank,Own,1,Management/self-employed,1,"Yes, registered",Yes,Good
>= 200 DM/salary assigned,10,Existing credits paid back,Car (new),3949,< 100 DM,< 1 year,1,Male single,Guarantor,1,Savings/Life insurance,37,None,Own,1,Unskilled-resident,2,None,Yes,Good
No checking account,15,Critical account,Radio/TV,1459,< 100 DM,1 <= ... < 4 years,4,Female div/sep/married,None,2,Car/other,43,None,Own,1,Unskilled-resident,1,None,Yes,Good
0 <= ... < 200 DM,13,Critical account,Radio/TV,882,< 100 DM,< 1 year,4,Male single,Guarantor,4,Real estate,23,None,Own,2,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,24,Existing credits paid back,Radio/TV,3758,500 <= ... < 1000 DM,Unemployed,1,Female div/sep/married,None,4,Unknown/No property,23,None,Rent,1,Unemployed/non-resident,1,None,Yes,Good
No checking account,6,Delayed payments,Business,1743,100 <= ... < 500 DM,1 <= ... < 4 years,1,Male single,None,2,Real estate,34,None,Own,2,Unskilled-resident,1,None,Yes,Good
0 <= ... < 200 DM,9,Critical account,Education,1136,>= 1000 DM,>= 7 years,4,Male single,None,3,Unknown/No property,32,None,For free,2,Skilled employee,2,None,Yes,Bad
No checking account,9,Existing credits paid back,Domestic appliances,1236,< 100 DM,< 1 year,1,Female div/sep/married,None,4,Real estate,23,None,Rent,1,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,9,Existing credits paid back,Furniture/equipment,959,< 100 DM,1 <= ... < 4 years,1,Female div/sep/married,None,2,Car/other,29,None,Own,1,Skilled employee,1,None,No,Bad
No checking account,18,Critical account,Car (used),3229,Unknown/No savings,Unemployed,2,Male single,None,4,Unknown/No property,38,None,Own,1,Management/self-employed,1,"Yes, registered",Yes,Good
< 0 DM,12,No credits/all paid,Radio/TV,6199,< 100 DM,1 <= ... < 4 years,4,Male single,None,2,Savings/Life insurance,28,None,Rent,2,Skilled employee,1,"Yes, registered",Yes,Bad
No checking account,10,Existing credits paid back,Education,727,500 <= ... < 1000 DM,>= 7 years,4,Male single,None,4,Unknown/No property,46,None,For free,1,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,24,Existing credits paid back,Car (new),1246,< 100 DM,< 1 year,4,Male single,None,2,Real estate,23,Stores,Own,1,Unskilled-resident,1,None,Yes,Bad
No checking account,12,Critical account,Radio/TV,2331,Unknown/No savings,>= 7 years,1,Male single,Co-applicant,4,Real estate,49,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,36,Delayed payments,Radio/TV,4463,< 100 DM,1 <= ... < 4 years,4,Male single,None,2,Car/other,26,None,Own,2,Management/self-employed,1,"Yes, registered",Yes,Bad
No checking account,12,Existing credits paid back,Radio/TV,776,< 100 DM,1 <= ... < 4 years,4,Male married/widowed,None,2,Real estate,28,None,Own,1,Skilled employee,1,None,Yes,Good
< 0 DM,30,Existing credits paid back,Furniture/equipment,2406,< 100 DM,4 <= ... < 7 years,4,Female div/sep/married,None,4,Real estate,23,None,Rent,1,Skilled employee,1,None,Yes,Bad
0 <= ... < 200 DM,18,Existing credits paid back,Education,1239,Unknown/No savings,1 <= ... < 4 years,4,Male single,None,4,Unknown/No property,61,None,For free,1,Skilled employee,1,None,Yes,Good
>= 200 DM/salary assigned,12,Existing credits paid back,Radio/TV,3399,Unknown/No savings,>= 7 years,2,Male single,None,3,Car/other,37,None,Own,1,Management/self-employed,1,None,Yes,Good
>= 200 DM/salary assigned,12,Delayed payments,Car (new),2247,< 100 DM,1 <= ... < 4 years,2,Female div/sep/married,None,2,Car/other,36,Stores,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,6,Existing credits paid back,Furniture/equipment,1766,< 100 DM,1 <= ... < 4 years,1,Male married/widowed,None,2,Savings/Life insurance,21,None,Rent,1,Skilled employee,1,None,Yes,Good
< 0 DM,18,Existing credits paid back,Furniture/equipment,2473,< 100 DM,Unemployed,4,Male single,None,1,Car/other,25,None,Own,1,Unemployed/non-resident,1,None,Yes,Bad
No checking account,12,Existing credits paid back,Business,1542,< 100 DM,4 <= ... < 7 years,2,Male single,None,4,Car/other,36,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,18,Critical account,Car (used),3850,< 100 DM,4 <= ... < 7 years,3,Male single,None,1,Car/other,27,None,Own,2,Skilled employee,1,None,Yes,Good
< 0 DM,18,Existing credits paid back,Furniture/equipment,3650,< 100 DM,< 1 year,1,Female div/sep/married,None,4,Car/other,22,None,Rent,1,Skilled employee,1,None,Yes,Good
< 0 DM,36,Existing credits paid back,Furniture/equipment,3446,< 100 DM,>= 7 years,4,Male single,None,2,Car/other,42,None,Own,1,Skilled employee,2,None,Yes,Bad
0 <= ... < 200 DM,18,Existing credits paid back,Furniture/equipment,3001,< 100 DM,4 <= ... < 7 years,2,Female div/sep/married,None,4,Real estate,40,None,Rent,1,Skilled employee,1,None,Yes,Good
No checking account,36,Existing credits paid back,Car (new),3079,Unknown/No savings,1 <= ... < 4 years,4,Male single,None,4,Real estate,36,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,18,Critical account,Radio/TV,6070,< 100 DM,>= 7 years,3,Male single,None,4,Car/other,33,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
No checking account,10,Critical account,Furniture/equipment,2146,< 100 DM,< 1 year,1,Female div/sep/married,None,3,Real estate,23,None,Rent,2,Skilled employee,1,None,Yes,Good
No checking account,60,Critical account,Car (new),13756,Unknown/No savings,>= 7 years,2,Male single,None,4,Unknown/No property,63,Bank,For free,1,Management/self-employed,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,60,All credits paid back,Other,14782,100 <= ... < 500 DM,>= 7 years,3,Female div/sep/married,None,4,Unknown/No property,60,Bank,For free,2,Management/self-employed,1,"Yes, registered",Yes,Bad
< 0 DM,48,All credits paid back,Business,7685,< 100 DM,4 <= ... < 7 years,2,Female div/sep/married,Guarantor,4,Car/other,37,None,Rent,1,Skilled employee,1,None,Yes,Bad
No checking account,18,Delayed payments,Radio/TV,2320,< 100 DM,Unemployed,2,Male married/widowed,None,3,Real estate,34,None,Own,2,Skilled employee,1,None,Yes,Good
No checking account,7,Delayed payments,Radio/TV,846,Unknown/No savings,>= 7 years,3,Male single,None,4,Unknown/No property,36,None,For free,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,36,Existing credits paid back,Car (new),14318,< 100 DM,>= 7 years,4,Male single,None,2,Unknown/No property,57,None,For free,1,Management/self-employed,1,"Yes, registered",Yes,Bad
No checking account,6,Critical account,Car (new),362,100 <= ... < 500 DM,1 <= ... < 4 years,4,Female div/sep/married,None,4,Car/other,52,None,Own,2,Unskilled-resident,1,None,Yes,Good
< 0 DM,20,Existing credits paid back,Furniture/equipment,2212,Unknown/No savings,4 <= ... < 7 years,4,Male single,None,4,Car/other,39,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,18,Existing credits paid back,Car (used),12976,< 100 DM,Unemployed,3,Female div/sep/married,None,4,Unknown/No property,38,None,For free,1,Management/self-employed,1,"Yes, registered",Yes,Bad
No checking account,22,Existing credits paid back,Car (new),1283,Unknown/No savings,4 <= ... < 7 years,4,Female div/sep/married,None,4,Savings/Life insurance,25,None,Rent,1,Skilled employee,1,None,Yes,Good
>= 200 DM/salary assigned,12,Existing credits paid back,Car (new),1330,< 100 DM,< 1 year,4,Male single,None,1,Real estate,26,None,Own,1,Skilled employee,1,None,Yes,Good
No checking account,30,Delayed payments,Business,4272,100 <= ... < 500 DM,1 <= ... < 4 years,2,Male single,None,2,Savings/Life insurance,26,None,Own,2,Unskilled-resident,1,None,Yes,Good
No checking account,18,Critical account,Radio/TV,2238,< 100 DM,1 <= ... < 4 years,2,Female div/sep/married,None,1,Car/other,25,None,Own,2,Skilled employee,1,None,Yes,Good
No checking account,18,Existing credits paid back,Radio/TV,1126,Unknown/No savings,< 1 year,4,Female div/sep/married,None,2,Real estate,21,None,Rent,1,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,18,Critical account,Furniture/equipment,7374,< 100 DM,Unemployed,4,Male single,None,4,Savings/Life insurance,40,Stores,Own,2,Management/self-employed,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,15,Critical account,Business,2326,500 <= ... < 1000 DM,1 <= ... < 4 years,2,Male single,None,4,Car/other,27,Bank,Own,1,Skilled employee,1,None,Yes,Good
No checking account,9,Existing credits paid back,Business,1449,< 100 DM,4 <= ... < 7 years,3,Female div/sep/married,None,2,Car/other,27,None,Own,2,Skilled employee,1,None,Yes,Good
No checking account,18,Existing credits paid back,Car (new),1820,< 100 DM,1 <= ... < 4 years,2,Male married/widowed,None,2,Savings/Life insurance,30,None,Own,1,Management/self-employed,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,12,Existing credits paid back,Furniture/equipment,983,>= 1000 DM,< 1 year,1,Female div/sep/married,None,4,Real estate,19,None,Rent,1,Unskilled-resident,1,None,Yes,Good
< 0 DM,36,Existing credits paid back,Car (new),3249,< 100 DM,4 <= ... < 7 years,2,Male single,None,4,Unknown/No property,39,Bank,For free,1,Management/self-employed,2,"Yes, registered",Yes,Good
< 0 DM,6,Critical account,Radio/TV,1957,< 100 DM,4 <= ... < 7 years,1,Female div/sep/married,None,4,Car/other,31,None,Own,1,Skilled employee,1,None,Yes,Good
